timestamp,event_name,city,target_date,series_slug,question,outcome_name,implied_prob,clob_buy_price,clob_sell_price,spread,best_bid,best_ask,volume,liquidity,token_id,market_id,event_id
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 30°C on March 11?,Yes,0.065,,,,0.05,0.08,3025.9856180000006,679.6952,52394884262951037395355860913575295238448504007078099876949431448007903230217,1536893,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 30°C on March 11?,No,0.935,0.92,0.95,-0.030000,0.05,0.08,3025.9856180000006,679.6952,64156811804185806161329029157991688868658523739276207751423317846253198796041,1536893,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 31°C on March 11?,Yes,0.013,,,,0.01,0.016,3225.8488300000004,920.56168,98769373150519947285527319987276886803656263854652059634079968676703872701046,1536894,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Buenos Aires on March 11?,Buenos Aires,2026-03-11,buenos-aires-daily-weather,Will the highest temperature in Buenos Aires be 31°C on March 11?,No,0.987,,,,0.01,0.016,3225.8488300000004,920.56168,84914235377618932324582461630492995587837334555270304380659230772895926920438,1536894,255778
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 5°C on March 11?,Yes,0.07,,,,0.04,0.1,32790.31252699998,2029.87695,27864040434634529103621959409238034272243434943001104004154967533184406407756,1536899,255779
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 5°C on March 11?,No,0.93,0.913,0.954,-0.041000,0.04,0.1,32790.31252699998,2029.87695,10285524772401711170736745777814880026738352114762920047083330123250937276830,1536899,255779
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 6°C on March 11?,Yes,0.665,,,,0.66,0.67,18334.305673000013,393.6495,30651487546059816315542298749690693770786114021470737745892927250195379028663,1536900,255779
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 6°C on March 11?,No,0.335,,,,0.66,0.67,18334.305673000013,393.6495,53882945065166727416515425495048199145271730233233158121369989043184579894113,1536900,255779
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 7°C on March 11?,Yes,0.14,,,,0.13,0.15,12453.003227000016,1281.6458,255136436969751094571883506165127469662238322619600231210927227435361048438,1536901,255779
2026-03-11T04:27:18.867654+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 7°C on March 11?,No,0.86,0.83,0.85,-0.020000,0.13,0.15,12453.003227000016,1281.6458,114223813778688847906676776427533644175813756932882560064218223150613800816425,1536901,255779
