exit_ts,slug,asset,tf,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts
2026-03-11T17:39:09.943893+00:00,xrp-up-or-down-march-11-1pm-et,XRP,1h,0.925,0.655,14.0,12.950000000000001,-3.780000000000001,False,stop_loss,2026-03-11T17:26:48.737372+00:00
2026-03-11T17:53:02.206486+00:00,xrp-up-or-down-march-11-1pm-et,XRP,1h,0.93,0.99,38.0,35.34,2.6599999999999966,True,auto_resolved,2026-03-11T17:44:46.988038+00:00
2026-03-11T17:59:26.947197+00:00,bitcoin-up-or-down-march-11-1pm-et,BTC,1h,0.91,0.99,14.0,12.74,1.1199999999999992,True,target,2026-03-11T17:49:30.007682+00:00
2026-03-11T18:28:52.028549+00:00,eth-updown-15m-1773252900,ETH,15m,0.9,0.99,11.0,9.9,1.0999999999999996,True,auto_resolved,2026-03-11T18:27:01.144737+00:00
2026-03-11T18:57:14.617052+00:00,ethereum-up-or-down-march-11-2pm-et,ETH,1h,0.965,0.99,19.0,18.335,0.47499999999999787,True,target,2026-03-11T18:53:29.380807+00:00
2026-03-11T18:57:15.078945+00:00,eth-updown-15m-1773254700,ETH,15m,0.955,0.99,11.0,10.504999999999999,0.495000000000001,True,auto_resolved,2026-03-11T18:53:29.380807+00:00
2026-03-11T18:59:32.308770+00:00,xrp-updown-15m-1773254700,XRP,15m,0.985,0.99,11.0,10.834999999999999,0.16500000000000092,True,auto_resolved,2026-03-11T18:53:29.380807+00:00
2026-03-11T18:59:33.026183+00:00,btc-updown-15m-1773254700,BTC,15m,0.945,0.985,10.0,9.45,0.40000000000000036,True,expiring,2026-03-11T18:53:29.380807+00:00
2026-03-11T19:44:23.113499+00:00,btc-updown-15m-1773257400,BTC,15m,0.955,0.955,11.0,10.504999999999999,0.0,False,expiring,2026-03-11T19:39:08.699358+00:00
2026-03-11T20:43:38.331616+00:00,xrp-updown-15m-1773261000,XRP,15m,0.905,0.99,11.0,9.955,0.9350000000000005,True,target,2026-03-11T20:37:17.889113+00:00
2026-03-11T21:44:02.196458+00:00,btc-updown-15m-1773264600,BTC,15m,0.935,0.905,10.0,9.350000000000001,-0.3000000000000007,False,expiring,2026-03-11T21:39:13.538373+00:00
2026-03-11T21:44:02.737585+00:00,xrp-updown-15m-1773264600,XRP,15m,0.925,0.935,10.0,9.25,0.10000000000000142,True,expiring,2026-03-11T21:39:13.538373+00:00
2026-03-11T21:44:03.286802+00:00,eth-updown-15m-1773264600,ETH,15m,0.935,0.985,10.0,9.350000000000001,0.4999999999999982,True,expiring,2026-03-11T21:39:57.305466+00:00
2026-03-11T21:57:01.115515+00:00,eth-updown-15m-1773265500,ETH,15m,0.955,0.99,12.0,11.459999999999999,0.41999999999999993,True,target,2026-03-11T21:53:08.327011+00:00
2026-03-11T21:58:43.500307+00:00,ethereum-up-or-down-march-11-5pm-et,ETH,1h,0.925,0.99,15.0,13.875,0.9749999999999996,True,target,2026-03-11T21:53:08.327011+00:00
2026-03-11T21:59:17.624081+00:00,btc-updown-15m-1773265500,BTC,15m,0.945,0.99,11.0,10.395,0.495000000000001,True,target,2026-03-11T21:53:08.327011+00:00
2026-03-11T21:59:18.350688+00:00,xrp-updown-15m-1773265500,XRP,15m,0.945,0.99,10.0,9.45,0.45000000000000107,True,target,2026-03-11T21:53:58.127963+00:00
2026-03-11T21:59:18.881384+00:00,bitcoin-up-or-down-march-11-5pm-et,BTC,1h,0.905,0.99,11.0,9.955,0.9350000000000005,True,target,2026-03-11T21:56:19.496436+00:00
2026-03-11T21:59:22.102161+00:00,73817648985454321302888160740913052562728060672745692795043146688994922372230,ORPHAN,?,0,0.99,1.254498,1.1834934132,0.058459606800000063,True,target,
2026-03-12T00:27:43.683111+00:00,eth-updown-15m-1773274500,ETH,15m,0.94,0.825,13.0,12.219999999999999,-1.4949999999999992,False,stop_loss,2026-03-12T00:25:27.528714+00:00
2026-03-12T00:59:17.627501+00:00,ethereum-up-or-down-march-11-8pm-et,ETH,1h,0.975,0.99,15.0,14.625,0.22499999999999964,True,target,2026-03-12T00:55:14.368427+00:00
2026-03-12T04:13:02.163662+00:00,eth-updown-15m-1773288000,ETH,15m,0.965,0.99,10.0,9.65,0.34999999999999964,True,auto_resolved,2026-03-12T04:08:59.738636+00:00
2026-03-12T04:13:03.039496+00:00,btc-updown-15m-1773288000,BTC,15m,0.945,0.99,10.0,9.45,0.45000000000000107,True,target,2026-03-12T04:08:59.738636+00:00
2026-03-12T05:15:55.135435+00:00,ethereum-up-or-down-march-12-1am-et__MOM_UP,ETH,1h,0.595,0.595,25.0,14.875,2.5061640799999942,False,stop_loss,2026-03-12T05:15:11.450558+00:00
2026-03-12T05:15:55.672056+00:00,bitcoin-up-or-down-march-12-1am-et__MOM_UP,BTC,1h,0.545,0.545,23.0,12.535,1.522755851067,False,stop_loss,2026-03-12T05:15:11.450558+00:00
2026-03-12T05:26:52.387679+00:00,99371204618747520876213747718403673801315771738212525904494912454479910963946,ORPHAN,?,0,0.99,21.86601,20.772709499999998,0.8746404000000005,True,target,
2026-03-12T05:29:42.905016+00:00,ethereum-up-or-down-march-12-1am-et__MOM_DOWN,ETH,1h,0.625,0.675,18.0,11.25,3.2367731760000034,False,stop_loss,2026-03-12T05:26:50.837962+00:00
2026-03-12T05:29:43.343770+00:00,41660161000633108283127871372259012219018170417391972192258659048321014523020,ORPHAN,?,0,0.99,21.86601,20.772709499999998,0.8746404000000005,True,target,
2026-03-12T05:29:43.892528+00:00,bitcoin-up-or-down-march-12-1am-et__MOM_DOWN,BTC,1h,0.675,0.725,14.0,9.450000000000001,-0.4533138000000001,False,stop_loss,2026-03-12T05:27:29.127916+00:00
2026-03-12T05:35:03.013579+00:00,ethereum-up-or-down-march-12-1am-et__MOM_DOWN,ETH,1h,0.575,0.345,26.0,14.95,-5.98,False,mom_stop,2026-03-12T05:32:57.426240+00:00
2026-03-12T05:35:42.253247+00:00,bitcoin-up-or-down-march-12-1am-et__MOM_DOWN,BTC,1h,0.625,0.44499999999999995,20.0,12.5,-3.6000000000000014,False,mom_stop,2026-03-12T05:33:35.661430+00:00
2026-03-12T05:35:43.109804+00:00,xrp-up-or-down-march-12-1am-et__MOM_DOWN,XRP,1h,0.615,0.615,16.0,9.84,-2.0934718028729993,False,stop_loss,2026-03-12T05:35:01.926229+00:00
2026-03-12T05:37:28.809537+00:00,eth-updown-15m-1773293400,ETH,15m,0.905,0.825,11.0,9.955,-0.8800000000000008,False,stop_loss,2026-03-12T05:35:40.601380+00:00
