resolved_timestamp,event_name,city,target_date,series_slug,question,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-03-11T05:29:47.866108+00:00,Highest temperature in Tel Aviv on March 12?,Tel Aviv,2026-03-12,tel-aviv-daily-weather,Will the highest temperature in Tel Aviv be 15°C or below on March 12?,No,true,0.9945,0,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:24:44.786858+00:00,57.4
2026-03-11T05:29:47.866108+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 9°C on March 11?,No,true,0.9945,0,2026-03-11T04:55:24.072558+00:00,2026-03-11T05:24:44.786858+00:00,29.3
2026-03-11T05:29:47.866108+00:00,Highest temperature in Wellington on March 11?,Wellington,2026-03-11,wellington-daily-weather,Will the highest temperature in Wellington be 20°C on March 11?,No,true,0.995,0,2026-03-11T04:58:25.972836+00:00,2026-03-11T05:24:44.786858+00:00,26.3
2026-03-11T05:32:50.262036+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 5°C on March 11?,No,true,0.9945,0.993,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:27:46.808771+00:00,60.5
2026-03-11T05:38:53.960762+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be between 40-41°F on March 11?,No,true,0.994,0.957,2026-03-11T04:27:18.867654+00:00,2026-03-11T05:33:50.597085+00:00,66.5
2026-03-11T05:48:00.890837+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 10°C or higher on March 11?,No,true,0.9945,0,2026-03-11T04:49:21.204053+00:00,2026-03-11T05:42:56.733647+00:00,53.6
2026-03-11T05:51:03.497624+00:00,Highest temperature in Seattle on March 11?,Seattle,2026-03-11,seattle-daily-weather,Will the highest temperature in Seattle be between 44-45°F on March 11?,No,true,0.9945,0,2026-03-11T04:58:25.972836+00:00,2026-03-11T05:45:59.164392+00:00,47.6
2026-03-11T05:54:05.463901+00:00,Highest temperature in Seoul on March 11?,Seoul,2026-03-11,seoul-daily-weather,Will the highest temperature in Seoul be 9°C on March 11?,No,true,0.995,0,2026-03-11T05:31:49.417127+00:00,2026-03-11T05:49:01.886399+00:00,17.2
2026-03-11T05:54:05.463901+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be 39°F or below on March 11?,No,true,0.995,0,2026-03-11T05:34:51.389037+00:00,2026-03-11T05:49:01.886399+00:00,14.2
2026-03-11T05:54:05.463901+00:00,Highest temperature in Chicago on March 11?,Chicago,2026-03-11,chicago-daily-weather,Will the highest temperature in Chicago be between 40-41°F on March 11?,No,likely,0.9875,0,2026-03-11T05:43:57.462983+00:00,2026-03-11T05:49:01.886399+00:00,5.1
