exit_ts,tier,event,outcome,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts,ratio,s1_margin,category,market_id,token_id
2026-03-20T23:15:54.947176+00:00,B,Miami Open: Gabriel Diallo vs Yibing Wu,Gabriel Diallo,0.77,1.0,8.603680714285712,6.624834149999999,1.9788,True,AUTO_RESOLVED,2026-03-20T22:18:20.213939+00:00,3.2,4,ATP_TOUR,1611394,91608762803518016459865437778671035673446685028432618480793963437986709095044
2026-03-21T00:22:18.408388+00:00,B,Miami Open: Arthur Fils vs Darwin Blanch,Arthur Fils,0.94,1.0,9.642251489361703,9.0637164,0.5785,True,AUTO_RESOLVED,2026-03-20T23:52:12.384948+00:00,8.8,4,ATP_TOUR,1655469,107002380415938964921301977389403583905679642674748987697747671624037571353469
2026-03-21T00:39:35.282789+00:00,B,Miami Open: Elina Svitolina vs Emerson Jones,Elina Svitolina,0.957,0.99,6.653771097178683,6.367658939999999,0.0790,True,API_WIN,2026-03-21T00:25:47.553640+00:00,18.4,4,WTA_TOUR,1658792,49956273524342929789595113566024686231023530391451530829179725535813324019007
2026-03-21T01:16:25.678142+00:00,A,Miami Open: Camilo Ugo Carabelli vs Sebastian Korda,Sebastian Korda,0.978,1.0,9.99031927402863,9.77053225,0.2198,True,AUTO_RESOLVED,2026-03-21T00:46:38.535598+00:00,1.8,6,ATP_TOUR,1655482,63218744505159750144317617643764460774272672307333365201513219515614823594134
2026-03-21T03:04:31.711966+00:00,B,Miami Open: Moise Kouame vs Jiri Lehecka,Jiri Lehecka,0.97,1.0,10.858880721649484,10.5331143,0.3258,True,AUTO_RESOLVED,2026-03-21T02:04:38.406012+00:00,17.5,4,ATP_TOUR,1655443,100312386440107829473303815149940895158590450129546952840813673516487677312077
2026-03-21T15:59:05.798811+00:00,B,Miami Open: Aleksandar Vukic vs Rafael Jodar,Rafael Jodar,0.95,1.0,6.066876315789473,5.763532499999999,0.3033,True,AUTO_RESOLVED,2026-03-21T15:32:22.139483+00:00,0,5,ATP_CHALL,1658780,56489961171450089268526785933371906653614397697084033651472996109525697607926
2026-03-21T16:20:01.720168+00:00,B,Miami Open: Iva Jovic vs Paula Badosa,Iva Jovic,0.92,1.0,6.3060818478260865,5.8015953,0.5045,True,AUTO_RESOLVED,2026-03-21T16:02:46.463783+00:00,5.9,4,WTA_TOUR,1652029,96058050043654270872320888107222572736899673312350204397355152361434829006308
2026-03-21T18:48:01.112567+00:00,A,Miami Open: Gabriela Ruse vs Madison Keys,Madison Keys,0.94,1.0,10.546696808510639,9.913895,0.6328,True,AUTO_RESOLVED,2026-03-21T18:02:52.882185+00:00,4.1,6,WTA_TOUR,1658783,16927877341335966364479973722357875087709846739142717631959728959831187292043
2026-03-21T19:21:27.319496+00:00,A,Miami Open: Corentin Moutet vs Tomas Machac,Corentin Moutet,0.75,0.0,9.918527333333333,7.4388955,-7.4389,False,AUTO_RESOLVED,2026-03-21T18:39:24.972601+00:00,1.5,6,ATP_TOUR,1658796,21498294535512090208959326452348398776409833427893842381982135883720361220968
2026-03-21T21:09:28.956984+00:00,B,Miami Open: Anastasia Zakharova vs Victoria Mboko,Victoria Mboko,0.976,1.0,5.898542981557377,5.75697795,0.1416,True,AUTO_RESOLVED,2026-03-21T20:09:36.355623+00:00,8.2,5,WTA_TOUR,1665959,115500017958895499013343480168591723232093482446230491250876282643774454381727
