resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T08:33:32Z,btc-updown-15m-1772784900,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T08:33:32Z,sol-updown-15m-1772784900,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T08:33:32Z,eth-updown-5m-1772785500,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:33:32Z,xrp-updown-15m-1772784900,xrp-up-or-down-15m,XRP,15m,up_down,,Down
2026-03-06T08:33:32Z,btc-updown-5m-1772785500,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T08:33:32Z,sol-updown-5m-1772785500,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:37:44Z,xrp-updown-5m-1772785800,xrp-up-or-down-5m,XRP,5m,up_down,,Down
2026-03-06T08:37:44Z,eth-updown-5m-1772785800,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T08:37:44Z,sol-updown-5m-1772785800,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:37:44Z,btc-updown-5m-1772785800,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:43:00Z,eth-updown-5m-1772786100,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T08:43:00Z,xrp-updown-5m-1772786100,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:43:00Z,btc-updown-5m-1772786100,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:43:00Z,sol-updown-5m-1772786100,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:47:13Z,xrp-updown-5m-1772786400,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:47:13Z,eth-updown-15m-1772785800,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T08:47:13Z,sol-updown-15m-1772785800,sol-up-or-down-15m,SOL,15m,up_down,,Down
2026-03-06T08:47:13Z,xrp-updown-15m-1772785800,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T08:47:13Z,btc-updown-15m-1772785800,btc-up-or-down-15m,BTC,15m,up_down,,Down
2026-03-06T08:47:13Z,eth-updown-5m-1772786400,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T08:47:13Z,sol-updown-5m-1772786400,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T08:47:13Z,btc-updown-5m-1772786400,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:52:33Z,eth-updown-5m-1772786700,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T08:52:33Z,btc-updown-5m-1772786700,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:52:33Z,sol-updown-5m-1772786700,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T08:52:33Z,xrp-updown-5m-1772786700,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T08:57:49Z,btc-updown-5m-1772787000,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T08:57:49Z,sol-updown-5m-1772787000,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T08:57:49Z,xrp-updown-5m-1772787000,xrp-up-or-down-5m,XRP,5m,up_down,,Down
