resolved_timestamp,event_name,league,game_id,market_type,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-02-28T20:09:41.936133+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0,2026-02-28T19:12:04.519053+00:00,2026-02-28T20:05:37.331683+00:00,53.5
2026-02-28T20:12:26.819198+00:00,Trail Blazers vs. Hornets,nba-2026,20023328,moneyline,Under,true,0.99,0.96,2026-02-28T18:02:07.191201+00:00,2026-02-28T20:08:20.897101+00:00,126.2
2026-02-28T20:24:29.107180+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0,2026-02-28T19:20:18.477832+00:00,2026-02-28T20:19:16.607843+00:00,59.0
2026-02-28T20:32:43.831633+00:00,Penguins vs. Rangers,nhl-2026,30024907,spread,Penguins,true,0.99,0.93,2026-02-28T17:30:35.899158+00:00,2026-02-28T20:28:39.472336+00:00,178.1
2026-02-28T20:57:16.727472+00:00,Pau FC vs. AS Saint-Étienne,ligue-2,90103038,moneyline,No,true,0.99,0.999,2026-02-28T19:00:07.808731+00:00,2026-02-28T20:53:13.632572+00:00,113.1
2026-02-28T20:59:58.688212+00:00,Al Najmah Saudi Club vs. Al Okhdood SC,saudi-professional-league,90108379,moneyline,No,true,0.99,0.96,2026-02-28T18:02:07.191201+00:00,2026-02-28T20:55:56.382611+00:00,173.8
2026-02-28T21:18:57.976713+00:00,Charleston Southern Buccaneers vs. UNC Asheville Bulldogs,ncaa-cbb,70512,moneyline,Charleston Southern Buccaneers,true,0.99,0.96,2026-02-28T19:00:07.808731+00:00,2026-02-28T21:14:55.448067+00:00,134.8
2026-02-28T21:24:32.155391+00:00,Valorant: XLG Gaming vs NRG (BO3) - VCT Masters Santiago Group Stage,valorant,1367377,moneyline,NRG,true,0.99,0.99,2026-02-28T19:31:20.560049+00:00,2026-02-28T21:20:20.926307+00:00,109.0
2026-02-28T21:52:51.757264+00:00,NEC vs. Fortuna Sittard,ere-2025,90090907,moneyline,No,true,0.99,0,2026-02-28T20:00:09.004929+00:00,2026-02-28T21:48:50.196754+00:00,108.7
2026-02-28T21:56:54.870115+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0.999,2026-02-28T19:12:04.519053+00:00,2026-02-28T21:52:51.757264+00:00,160.8
2026-02-28T22:28:04.489304+00:00,Chicago Fire FC vs. CF Montréal - Halftime Result,mls-2025,,moneyline,No,true,0.99,0.92,2026-02-28T19:31:20.560049+00:00,2026-02-28T22:23:59.286029+00:00,172.6
